negative;COLLECTION#GENERAL;;;There is not much to see.
negative;COLLECTION#SIZE;;;Only 3 exhibitions are open (as of the time I went) and they are all mostly boring. 
positive;COLLECTION#EGYPTIAN;;;The Egyptian exhibit was kind of cool
negative;STAFF#GENERAL;;;but the guard sitting in the building kept saying “shh” to us when we were quietly talking and no one else was even in the exhibit!
negative;COLLECTION#SIZE;;; It is a very empty museum. 
negative;COLLECTION#ROMAN;;;The Roman exhibit is not worth seeing at all, as the statues are nothing special. 
negative;COLLECTION#GENERAL;;;The prehistoric exhibit is boring as well and again there is nothing to see aside from a collection of rocks from every country.
negative;LANGUAGE#AVAILABILITY;;; It might have been more interesting if there were English descriptions but there were none.
negative;MUSEUM#GENERAL;;; Definitely not worth seeing, don't waste your time. 
negative;COLLECTION#SIZE;;;Well, just 3 sections were available. 
positive;COLLECTION#EGYPTIAN;;; They do have good set of Egyptian collection. 
positive;COLLECTION#GENERAL;;;Pottery from prehistoric period with some items from the bronze could be seen as well. 
negative;COLLECTION#SIZE;;;Most part of the museum have been closed for restoration since 2017. As a result not much could be seen.
neutral;MUSEUM#GENERAL;;;We made a quick trip to the museum on a rainy day with our two young kids. 
positive;PRICE#GENERAL;;;Only part of the museum was open as they are renovating at the moment, but it was super cheap. 
positive;COLLECTION#EGYPTIAN;;;The best bit was the ancient Egypt section, which for a quick visit was pretty impressive. The kids thought it was fun too.
neutral;MUSEUM#GENERAL;;;The Museo Civico Archelogico is just that, a space dedicated to the many archeological wonders from Bologna's past. 
positive;COLLECTION#GENERAL;;;However, not only does the museum host a magnificent collection of artifacts and treasures, but it also has galleries dedicated to traveling exhibitions.
positive;EXHIBITION#HOKUSAI;;; At the time of my visit, this museum was showing the celebrated Hiroshige and Hosukai exhibition that had most recently been at the Boston Museum of Fine Arts. The exhibition was beautifully mounted, nicely lit, and I really was lucky to see it. 
positive;MUSEUM#GENERAL;;;"Very fine.It was unfortunate that I was on a schedule, and couldn't enjoy the permanent exhibitions in this museum as I had to depart for Venice. I hope to return one day to see the rest of the museum. Enjoy.,""March 3, 2019"""
negative;COLLECTION#GENERAL;;;This museum apparently has a nice collection, but the way they present is is rather old fashioned - there appears not much to have happened in terms of renewing the exhibition since the 1980s or so. 
negative;INFORMATION#GENERAL;;;Too many fossils, too little context and information �
positive;EXHIBITION#HOKUSAI;;;The minute I walk in my hotel, I was happily surprised to find a leaflet informing about the Hokusai and Hiroshige exhibition! 
positive;EXHIBITION#HOKUSAI;;;Exhibition was a delight, but we only had the chance to see the ground floor of the museum, because the first floor was closed for renovations, so we didn't have the chance of admiring the Greek section
positive;EXHIBITION#HOKUSAI;;;Because these works require close-up attention to all the fascinating details, we only managed half of the Hokusai show in London. Exhaustion set in, so we were surprised and delighted to have an opportunity to continue. 
positive;EXHIBITION#HOKUSAI;;;It has all the famous prints, 36 views of Fuji, inc the Great Wave. Half the show is Hiroshige, who was less well-known to us. Not as funny as Hokusai, but equally fascinating.
negative;INFORMATION#GENERAL;;; We managed to see the pre-historic collection, some of which was really well presented and explained, including the Palaeolithic and the Etruscan, but some wasn't explained at all. 
neutral;COLLECTION#ROMAN;;;Never got to the Roman stuff. 
neutral;COLLECTION#EGYPTIAN;;;When we attended, only the ancient Egyptian area was open. We were warned.
negative;LANGUAGE#AVAILABILITY;;;Minimal explanation of exhibits are offered in English. For me, this provided an opportunity to read some Italian and to test my own powers of observation. However, it became frustrating after awhile. This is fine for a 30 minute visit, but don't go out of your way.
negative;COLLECTION#EGYPTIAN;;;Much of this was undergoing renovations so the main sections were off limits & you have to be content with the Egyptian displays which anyone who has seen the Tutankhamun exhibition will probably find boring we did!!Check before you go in & pay what is open!!
positive;PRICE#GENERAL;;;I came here to see the Egyptian Collection and for 3 euros your in for a treat. 
neutral;MUSEUM#GENERAL;;;Some of the museum floors are closed for restoration but the basement which houses the Egyptian Artifacts is still open. 
negative;LANGUAGE#AVAILABILITY;;;Very well set out although most labels are in Italian.  
positive;COLLECTION#EGYPTIAN;;;The stunning Stelae of Pharoah Horemheb, are the first thing you see then it is set out in Kingdoms through the ages. Stunning Sarcophagi and statues as well as papyri and even crocodiles.
